"","model","metrics","value","variable"
"1","rf","Accuracy",0.999239109758417,"building"
"2","rf","Kappa",0.998813061605647,"building"
"5","rf","Accuracy",0.99162702188392,"floor"
"6","rf","Kappa",0.989153011174669,"floor"
"9","rf","RMSE",5.18439553205998,"long"
"10","rf","Rsquared",0.998253246030286,"long"
"11","rf","MAE",2.83108138816207,"long"
"15","rf","RMSE",2.86291239203354,"lat"
"16","rf","Rsquared",0.998204733737988,"lat"
"17","rf","MAE",1.61397839160732,"lat"
"21","rf","RMSE",3.51415316284988,"long2"
"22","rf","Rsquared",0.999198614365957,"long2"
"23","rf","MAE",1.91888588981963,"long2"
