"","model","metric","value","variable"
"1","rf","Accuracy",0.99809795530195,"building"
"2","rf","Kappa",0.997034047892616,"building"
"5","rf","Accuracy",0.996671421778412,"floor"
"6","rf","Kappa",0.995688726712981,"floor"
"9","rf","RMSE",3.24558527871669,"long"
"10","rf","Rsquared",0.999317352180693,"long"
"11","rf","MAE",1.33572419022198,"long"
"15","rf","RMSE",1.57274644722128,"lat"
"16","rf","Rsquared",0.999461835275137,"lat"
"17","rf","MAE",0.714305674562455,"lat"
"21","rf","RMSE",1.86825541825354,"long2"
"22","rf","Rsquared",0.999774504643509,"long2"
"23","rf","MAE",0.842904929355745,"long2"
